time,baseline (resnet50),,cnnLstm(3),,,,flownet,,,SIFT,,,,,,3stream,resnet50,,lateral,,,visnet,
1,0.87,0.76,0.82,0.81,,2,0.86,0.87,3,0.86,0.83,5,0.82,0.89,,0.91,0.81,,0.91,0.92,,0.89,0.85
2,0.79,0.82,0.8,0.82,,,0.91,0.83,,0.86,0.91,,0.82,0.72,,0.85,0.9,,0.89,0.9,,0.88,0.82
3,0.79,0.72,0.92,0.82,,,0.93,0.87,,0.84,0.84,,0.83,0.88,,0.85,0.86,,0.85,0.91,,0.84,0.87
4,0.85,0.83,0.92,0.88,,,0.89,0.86,,0.85,0.89,,0.81,0.84,,0.86,0.91,,0.82,0.89,,0.96,0.9
5,0.86,0.8,0.82,0.87,,,0.91,0.85,,0.85,0.93,,0.91,0.8,,0.88,0.85,,0.89,0.91,,0.86,0.89
6,0.78,0.64,0.83,0.78,,,0.89,0.81,,0.85,0.85,,0.94,0.89,,0.84,0.83,,0.81,0.87,,0.74,0.86
7,0.75,0.71,0.86,0.74,,,0.84,0.76,,0.85,0.81,,0.84,0.87,,0.82,0.93,,0.86,0.87,,0.88,0.89
8,0.79,0.73,0.9,0.72,,,0.88,0.83,,0.91,0.92,,0.82,0.86,,0.89,0.93,,0.85,0.9,,0.89,0.88
9,0.86,0.76,0.81,0.81,,,0.95,0.91,,0.78,0.83,,0.85,0.85,,0.85,0.9,,0.84,0.89,,0.90 ,0.89
10,0.82,0.8,0.84,0.88,,,0.84,0.84,,0.85,0.84,,0.83,0.87,,0.89,0.91,,0.86,0.92,,0.92,0.83
,0.816,0.757,0.852,0.813,,,0.89,0.843,,0.85,0.865,,0.847,0.847,,0.864,0.883,,0.858,0.898,,0.78,0.74
,,,cnnLstm(5),,,4,0.93,0.84,1,0.83,0.89,,,,,,,343,0.84,0.89,,0.867272727,0.856363636
shufunet,,,0.84,0.84,,,0.93,0.82,,0.84,0.77,,,,,,,,0.85,0.84,,,
,0.78,0.83,0.85,0.79,,,0.93,0.83,,0.81,0.73,,,,,,,,0.81,0.87,,,
,0.84,0.69,0.9,0.76,,,0.86,0.7,,0.85,0.85,,,,,,,,,,,,
